Order	Suborder	Family	Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Lepidoptera	"Butterfly"	Papilionidae	Papilio polymnestor	Papilio rumanzovia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio polytes	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio polytes	Papilio protenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio polyxenes	Papilio machaon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio polyxenes	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio polyxenes	Papilio zelicaon	Laboratory	Yes	Scriber, JM.	2007	Segregation of F-2 interspecific hybrid growth performance and wing color patterns relative to parental species in the Papilio machaon species group (Lepidoptera : Papilionidae)
Lepidoptera	"Butterfly"	Papilionidae	Papilio protenor	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio zelicaon	Papilio polyxenes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Parnassius apollo	Parnassius phoebus	Field	Yes	DESCIMON, H; GEIGER, H.	1988	ELECTROPHORETIC DETECTION OF INTERSPECIFIC HYBRIDS IN PARNASSIUS (LEPIDOPTERA, PAPILIONIDAE)
Lepidoptera	"Butterfly"	Papilionidae	Parnassius bremeri	Parnassius nomion	Field	Yes	Zakharov, EV.	2001	Natural hybridization between two swallowtail species Parnassius nomion and Parnassius bremeri (Lepidoptera, Papilionidae) shown by RAPD-PCR
Lepidoptera	"Butterfly"	Hesperiidae	Pelopidas agna	Pelopidas mathias	Field	Yes	Goonesekera, K; Lee, PLM; Van der Poorten, G; Ranawaka, G.	2021	A global comparison of DNA sequences of Pelopidas (Lepidoptera: Hesperiidae) reveals discordance between morphological and genetic data, and an insular 'ghost' population
Lepidoptera	"Butterfly"	Nymphalidae	Phyciodes batesii	Phyciodes tharos	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Nymphalidae	Phyciodes campestris	Phyciodes tharos	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Nymphalidae	Phyciodes cocyta	Phyciodes tharos	Laboratory	Yes	OLIVER, CG.	1980	PHENOTYPIC DIFFERENTIATION AND HYBRID BREAKDOWN WITHIN PHYCIODES-THAROS (LEPIDOPTERA, NYMPHALIDAE) IN THE NORTHEASTERN UNITED STATES
Lepidoptera	"Moth"	Lasiocampidae	Phyllodesma ilicifolia	Phyllodesma tremulifolia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris bryoniae	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris callidice	Pieris occidentalis	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris dulcinea	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris ergane	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris macdunnoughii	Pieris napi	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Lepidoptera	"Butterfly"	Pieridae	Pieris mannii	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris mannii	Pieris rapae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Pieris marginalis	Pieris napi	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
Lepidoptera	"Butterfly"	Pieridae	Pieris marginalis	Pieris oleracea	Laboratory	Yes	Chew, FS; Watt, WB.	2006	The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)
